actual,test
7334250.0,3799836.4862619275
10775.0,26756.913633455937
2968710.0,3189012.9173838804
68082.0,69587.37074302006
3306272.0,4072838.4789242833
10066098.0,5192250.0
9170621.0,7887539.44225786
12621168.0,9467008.823364673
5040804.0,5944166.151929154
72758.0,139764.27553059495
2050875.0,534869.8528105537
7629388.0,11342409.3239406
1302871.0,4003756.3948754184
33858.0,1220326.4881845869
9202458.0,8266036.938135947
9516931.0,6995501.733058223
7798482.0,4974902.527306186
3979146.0,5982470.859666149
15285318.0,10694058.952897377
1933909.0,5848330.761859999
558812.0,588792.7923654616
2131287.0,3256955.014292887
7292384.0,9488233.438343065
13289976.0,22471874.317134403
876850.0,4490822.642144481
20544846.0,16045609.955092309
3488406.0,3687670.761346275
11562963.0,11048267.735362992
1274280.0,5638628.302800596
33642.0,101556.0
9243066.0,6063282.342589483
5906360.0,4986716.845809418
8677901.82,9957427.92460355
4138422.0,5974758.927921457
21935676.0,17441601.796722565
8945538.0,11078980.721518159
13516774.0,14038100.13109856
11305644.0,13306995.22547207
8994258.0,9290262.868855737
1032562.0,1353506.7343360966
3387174.0,4635457.466574224
8632160.0,11155302.09706143
385410.0,5794403.108072858
3360513.0,5309254.519926855
17298414.0,16188065.839678247
6284334.0,6738350.145357367
13002041.0,12585983.31689898
157859.0,1064363.704647613
1101684.0,3462415.603987044
2476483.0,1807137.4310262452
850689.0,4633054.994056682
3604363.0,3226973.4972072085
4981494.0,5643208.881603678
6525544.0,4210060.755036559
361599.0,410831.9627055709
52360.0,51325.0
14028.0,3010743.410436867
7081998.0,7737322.786598958
64596.0,60058.86719114186
15911624.32,679430.2310867155
140448.0,1068167.6200277624
0.0,6396914.50421765
8706.0,9560934.9487727
7620715.0,8356731.021630822
848569.0,3118451.5032804157
23232298.0,22609879.839779068
3645198.0,4682537.814804435
36110.0,702293.7961573846
2788842.0,3608073.0016967705
17426149.0,43879490.44746808
109746.0,109746.0
5768.0,5606.0029734453965
1528904.0,1731888.0
10361106.0,8760295.42175367
15305930.0,14184233.126751285
53920.0,54688.14771638244
3700029.0,4919472.521322532
131727.0,171600.30295106387
270396.0,633733.032413616
3989748.0,4465110.98540988
5606117.0,6393621.666479865
13944162.0,15939608.799842503
