RMSE,k
5641450.857131035,1
4445504.330659355,2
4094920.484360936,3
3954400.4285665643,4
3913516.330044053,5
3888105.220730031,6
3871931.584638076,7
3880178.657656428,8
3875533.0325336535,9
3868832.5880802446,10
